,Name,Season,Tag,Team,Salary,role,bat_type,bowl_type,nationality,player2,team,bowl_type2
185,Parag More,2008,,Rajasthan Royals,"8,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Parag More,2008-Rajasthan Royals,Spin
220,Yusuf Pathan,2008,,Rajasthan Royals,"1,90,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Yusuf Pathan,2008-Rajasthan Royals,Spin
225,Anup Revandkar,2008,,Rajasthan Royals,"4,00,000",Bowler,Right Handed Bat,Right-arm offbreak,India,Anup Revandkar,2008-Rajasthan Royals,Spin
988,Ross Taylor,2008,,Royal Challengers Bangalore,"40,16,000",Batsman,Right Handed Bat,Right-arm offbreak,New Zealand,Ross Taylor,2008-Royal Challengers Bangalore,Spin
888,Rahul Dravid,2008,,Royal Challengers Bangalore,"4,14,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Rahul Dravid,2008-Royal Challengers Bangalore,Spin
901,Jagadeesh Arunkumar,2008,,Royal Challengers Bangalore,"12,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Jagadeesh Arunkumar,2008-Royal Challengers Bangalore,Spin
919,Wasim Jaffer,2008,,Royal Challengers Bangalore,"60,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Wasim Jaffer,2008-Royal Challengers Bangalore,Spin
107,Muttiah Muralitharan,2009,,Chennai Super Kings,"2,40,00,000",Bowler,Right Handed Bat,Right-arm offbreak,Sri Lanka,Muttiah Muralitharan,2009-Chennai Super Kings,Spin
37,S Badrinath,2009,,Chennai Super Kings,"12,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,S Badrinath,2009-Chennai Super Kings,Spin
75,Ravichandran Ashwin,2009,,Chennai Super Kings,"12,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Ravichandran Ashwin,2009-Chennai Super Kings,Spin
1122,Murali Vijay,2009,,Chennai Super Kings,"12,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Murali Vijay,2009-Chennai Super Kings,Spin
1010,VVS Laxman,2009,,Deccan Chargers,"1,50,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,VVS Laxman,2009-Deccan Chargers,Spin
1027,Rohit Sharma,2009,,Deccan Chargers,"3,00,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Rohit Sharma,2009-Deccan Chargers,Spin
1034,Venugopal Rao,2009,,Deccan Chargers,"12,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Venugopal Rao,2009-Deccan Chargers,Spin
1046,Arjun Yadav,2009,,Deccan Chargers,"12,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Arjun Yadav,2009-Deccan Chargers,Spin
1428,Tirumalasetti Suman,2009,,Deccan Chargers,"10,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Tirumalasetti Suman,2009-Deccan Chargers,Spin
446,Tillakaratne Dilshan,2009,,Delhi Daredevils,"1,22,80,000",Allrounder,Right Handed Bat,Right-arm offbreak,Sri Lanka,Tillakaratne Dilshan,2009-Delhi Daredevils,Spin
401,Virender Sehwag,2009,,Delhi Daredevils,"3,33,50,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Virender Sehwag,2009-Delhi Daredevils,Spin
491,Mithun Manhas,2009,,Delhi Daredevils,"12,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Mithun Manhas,2009-Delhi Daredevils,Spin
511,Yogesh Nagar,2009,,Delhi Daredevils,"8,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Yogesh Nagar,2009-Delhi Daredevils,Spin
1227,Owais Shah,2009,,Delhi Daredevils,"14,73,600",Batsman,Right Handed Bat,Right-arm offbreak,England,Owais Shah,2009-Delhi Daredevils,Spin
824,Ajantha Mendis,2009,,Kolkata Knight Riders,"14,73,600",Bowler,Right Handed Bat,Right-arm offbreak,Sri Lanka,Ajantha Mendis,2009-Kolkata Knight Riders,Spin
777,Brad Hodge,2009,,Kolkata Knight Riders,"14,73,600",Batsman,Right Handed Bat,Right-arm offbreak,Australia,Brad Hodge,2009-Kolkata Knight Riders,Spin
784,David Hussey,2009,,Kolkata Knight Riders,"3,07,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,Australia,David Hussey,2009-Kolkata Knight Riders,Spin
593,Harbhajan Singh,2009,,Mumbai Indians,"3,40,00,000",Bowler,Right Handed Bat,Right-arm offbreak,India,Harbhajan Singh,2009-Mumbai Indians,Spin
1197,Ryan Ninan,2009,,Punjab Kings,"6,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Ryan Ninan,2009-Punjab Kings,Spin
1129,Johan Botha,2009,,Rajasthan Royals,"14,73,600",Allrounder,Right Handed Bat,Right-arm offbreak,South Africa,Johan Botha,2009-Rajasthan Royals,Spin
154,Aditya Angle,2009,,Rajasthan Royals,"4,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Aditya Angle,2009-Rajasthan Royals,Spin
177,Mohammad Kaif,2009,,Rajasthan Royals,"2,70,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Mohammad Kaif,2009-Rajasthan Royals,Spin
184,Parag More,2009,,Rajasthan Royals,"8,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Parag More,2009-Rajasthan Royals,Spin
219,Yusuf Pathan,2009,,Rajasthan Royals,"1,90,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Yusuf Pathan,2009-Rajasthan Royals,Spin
224,Anup Revandkar,2009,,Rajasthan Royals,"4,00,000",Bowler,Right Handed Bat,Right-arm offbreak,India,Anup Revandkar,2009-Rajasthan Royals,Spin
573,Siddharth Chitnis,2009,,Rajasthan Royals,"8,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Siddharth Chitnis,2009-Rajasthan Royals,Spin
987,Ross Taylor,2009,,Royal Challengers Bangalore,"49,12,000",Batsman,Right Handed Bat,Right-arm offbreak,New Zealand,Ross Taylor,2009-Royal Challengers Bangalore,Spin
887,Rahul Dravid,2009,,Royal Challengers Bangalore,"4,14,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Rahul Dravid,2009-Royal Challengers Bangalore,Spin
900,Jagadeesh Arunkumar,2009,,Royal Challengers Bangalore,"12,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Jagadeesh Arunkumar,2009-Royal Challengers Bangalore,Spin
918,Wasim Jaffer,2009,,Royal Challengers Bangalore,"60,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Wasim Jaffer,2009-Royal Challengers Bangalore,Spin
1344,Kedar Jadhav,2009,,Royal Challengers Bangalore,"6,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Kedar Jadhav,2009-Royal Challengers Bangalore,Spin
1372,Udit Patel,2009,,Royal Challengers Bangalore,"8,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Udit Patel,2009-Royal Challengers Bangalore,Spin
1403,Kevin Pietersen,2009,,Royal Challengers Bangalore,"7,61,36,000",Batsman,Right Handed Bat,Right-arm offbreak,England,Kevin Pietersen,2009-Royal Challengers Bangalore,Spin
106,Muttiah Muralitharan,2010,,Chennai Super Kings,"2,40,00,000",Bowler,Right Handed Bat,Right-arm offbreak,Sri Lanka,Muttiah Muralitharan,2010-Chennai Super Kings,Spin
36,S Badrinath,2010,,Chennai Super Kings,"12,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,S Badrinath,2010-Chennai Super Kings,Spin
74,Ravichandran Ashwin,2010,,Chennai Super Kings,"12,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Ravichandran Ashwin,2010-Chennai Super Kings,Spin
1121,Murali Vijay,2010,,Chennai Super Kings,"12,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Murali Vijay,2010-Chennai Super Kings,Spin
1009,VVS Laxman,2010,,Deccan Chargers,"1,50,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,VVS Laxman,2010-Deccan Chargers,Spin
1026,Rohit Sharma,2010,,Deccan Chargers,"3,00,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Rohit Sharma,2010-Deccan Chargers,Spin
1033,Venugopal Rao,2010,,Deccan Chargers,"12,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Venugopal Rao,2010-Deccan Chargers,Spin
1045,Arjun Yadav,2010,,Deccan Chargers,"12,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Arjun Yadav,2010-Deccan Chargers,Spin
1427,Tirumalasetti Suman,2010,,Deccan Chargers,"10,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Tirumalasetti Suman,2010-Deccan Chargers,Spin
1633,Mohnish Mishra,2010,,Deccan Chargers,"8,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Mohnish Mishra,2010-Deccan Chargers,Spin
1652,Abhishek reddy,2010,,Deccan Chargers,"6,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Abhishek reddy,2010-Deccan Chargers,Spin
445,Tillakaratne Dilshan,2010,,Delhi Daredevils,"1,15,72,500",Allrounder,Right Handed Bat,Right-arm offbreak,Sri Lanka,Tillakaratne Dilshan,2010-Delhi Daredevils,Spin
400,Virender Sehwag,2010,,Delhi Daredevils,"3,33,50,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Virender Sehwag,2010-Delhi Daredevils,Spin
490,Mithun Manhas,2010,,Delhi Daredevils,"12,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Mithun Manhas,2010-Delhi Daredevils,Spin
1343,Kedar Jadhav,2010,,Delhi Daredevils,"8,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Kedar Jadhav,2010-Delhi Daredevils,Spin
1520,Shashi Ranjan,2010,,Delhi Daredevils,"6,00,000",Bowler,Right Handed Bat,Right-arm offbreak,India,Shashi Ranjan,2010-Delhi Daredevils,Spin
1521,Sarandeep Singh,2010,,Delhi Daredevils,"12,00,000",Bowler,Right Handed Bat,Right-arm offbreak,India,Sarandeep Singh,2010-Delhi Daredevils,Spin
1494,Adrian Barath,2010,,Kings XI Punjab,"9,25,800",Batsman,Right Handed Bat,Right-arm offbreak,West Indies,Adrian Barath,2010-Kings XI Punjab,Spin
823,Ajantha Mendis,2010,,Kolkata Knight Riders,"13,88,700",Bowler,Right Handed Bat,Right-arm offbreak,Sri Lanka,Ajantha Mendis,2010-Kolkata Knight Riders,Spin
1226,Owais Shah,2010,Transfer,Kolkata Knight Riders,"1,27,29,750",Batsman,Right Handed Bat,Right-arm offbreak,England,Owais Shah,2010-Kolkata Knight Riders,Spin
776,Brad Hodge,2010,,Kolkata Knight Riders,"13,88,700",Batsman,Right Handed Bat,Right-arm offbreak,Australia,Brad Hodge,2010-Kolkata Knight Riders,Spin
783,David Hussey,2010,,Kolkata Knight Riders,"2,89,31,250",Allrounder,Right Handed Bat,Right-arm offbreak,Australia,David Hussey,2010-Kolkata Knight Riders,Spin
592,Harbhajan Singh,2010,,Mumbai Indians,"3,40,00,000",Bowler,Right Handed Bat,Right-arm offbreak,India,Harbhajan Singh,2010-Mumbai Indians,Spin
1562,Ambati Rayudu,2010,,Mumbai Indians,"12,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Ambati Rayudu,2010-Mumbai Indians,Spin
176,Mohammad Kaif,2010,,Punjab Kings,"1,00,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Mohammad Kaif,2010-Punjab Kings,Spin
1128,Johan Botha,2010,,Rajasthan Royals,"13,88,700",Allrounder,Right Handed Bat,Right-arm offbreak,South Africa,Johan Botha,2010-Rajasthan Royals,Spin
218,Yusuf Pathan,2010,,Rajasthan Royals,"1,90,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Yusuf Pathan,2010-Rajasthan Royals,Spin
1467,Abhishek Jhunjhunwala,2010,,Rajasthan Royals,"8,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Abhishek Jhunjhunwala,2010-Rajasthan Royals,Spin
1480,Syed Ahmed Quadri,2010,,Rajasthan Royals,"6,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Syed Ahmed Quadri,2010-Rajasthan Royals,Spin
986,Ross Taylor,2010,,Royal Challengers Bangalore,"46,29,000",Batsman,Right Handed Bat,Right-arm offbreak,New Zealand,Ross Taylor,2010-Royal Challengers Bangalore,Spin
886,Rahul Dravid,2010,,Royal Challengers Bangalore,"4,14,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Rahul Dravid,2010-Royal Challengers Bangalore,Spin
1402,Kevin Pietersen,2010,,Royal Challengers Bangalore,"7,17,49,500",Batsman,Right Handed Bat,Right-arm offbreak,England,Kevin Pietersen,2010-Royal Challengers Bangalore,Spin
1673,Suraj Randiv,2011,,Chennai Super Kings,"36,80,000",Bowler,Right Handed Bat,Right-arm offbreak,Sri Lanka,Suraj Randiv,2011-Chennai Super Kings,Spin
35,S Badrinath,2011,,Chennai Super Kings,"3,68,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,S Badrinath,2011-Chennai Super Kings,Spin
73,Ravichandran Ashwin,2011,,Chennai Super Kings,"3,91,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Ravichandran Ashwin,2011-Chennai Super Kings,Spin
1120,Murali Vijay,2011,,Chennai Super Kings,"4,14,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Murali Vijay,2011-Chennai Super Kings,Spin
1044,Arjun Yadav,2011,,Deccan Chargers,"30,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Arjun Yadav,2011-Deccan Chargers,Spin
1651,Abhishek reddy,2011,,Deccan Chargers,"10,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Abhishek reddy,2011-Deccan Chargers,Spin
1401,Kevin Pietersen,2011,,Deccan Chargers,"2,99,00,000",Batsman,Right Handed Bat,Right-arm offbreak,England,Kevin Pietersen,2011-Deccan Chargers,Spin
399,Virender Sehwag,2011,,Delhi Daredevils,"8,28,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Virender Sehwag,2011-Delhi Daredevils,Spin
510,Yogesh Nagar,2011,,Delhi Daredevils,"20,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Yogesh Nagar,2011-Delhi Daredevils,Spin
1032,Venugopal Rao,2011,,Delhi Daredevils,"3,22,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Venugopal Rao,2011-Delhi Daredevils,Spin
1756,Robin Bist,2011,,Delhi Daredevils,"20,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Robin Bist,2011-Delhi Daredevils,Spin
1762,Unmukt Chand,2011,,Delhi Daredevils,"10,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Unmukt Chand,2011-Delhi Daredevils,Spin
1765,Ajit Chandila,2011,,Delhi Daredevils,"30,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Ajit Chandila,2011-Delhi Daredevils,Spin
105,Muttiah Muralitharan,2011,,Kochi Tuskers Kerala,"5,06,00,000",Bowler,Right Handed Bat,Right-arm offbreak,Sri Lanka,Muttiah Muralitharan,2011-Kochi Tuskers Kerala,Spin
1008,VVS Laxman,2011,,Kochi Tuskers Kerala,"1,84,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,VVS Laxman,2011-Kochi Tuskers Kerala,Spin
1342,Kedar Jadhav,2011,,Kochi Tuskers Kerala,"20,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Kedar Jadhav,2011-Kochi Tuskers Kerala,Spin
1979,Deepak Chougule,2011,,Kochi Tuskers Kerala,"30,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Deepak Chougule,2011-Kochi Tuskers Kerala,Spin
1225,Owais Shah,2011,,Kochi Tuskers Kerala,"92,00,000",Batsman,Right Handed Bat,Right-arm offbreak,England,Owais Shah,2011-Kochi Tuskers Kerala,Spin
775,Brad Hodge,2011,,Kochi Tuskers Kerala,"1,95,50,000",Batsman,Right Handed Bat,Right-arm offbreak,Australia,Brad Hodge,2011-Kochi Tuskers Kerala,Spin
217,Yusuf Pathan,2011,,Kolkata Knight Riders,"9,66,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Yusuf Pathan,2011-Kolkata Knight Riders,Spin
1025,Rohit Sharma,2011,,Mumbai Indians,"9,20,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Rohit Sharma,2011-Mumbai Indians,Spin
591,Harbhajan Singh,2011,,Mumbai Indians,"5,98,00,000",Bowler,Right Handed Bat,Right-arm offbreak,India,Harbhajan Singh,2011-Mumbai Indians,Spin
1426,Tirumalasetti Suman,2011,,Mumbai Indians,"30,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Tirumalasetti Suman,2011-Mumbai Indians,Spin
1561,Ambati Rayudu,2011,,Mumbai Indians,"30,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Ambati Rayudu,2011-Mumbai Indians,Spin
1811,S Kanwar,2011,,Mumbai Indians,"10,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,S Kanwar,2011-Mumbai Indians,Spin
1968,Nathan McCullum,2011,,Pune Warriors India,"46,00,000",Bowler,Right Handed Bat,Right-arm offbreak,New Zealand,Nathan McCullum,2011-Pune Warriors India,Spin
489,Mithun Manhas,2011,,Pune Warriors India,"30,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Mithun Manhas,2011-Pune Warriors India,Spin
1466,Abhishek Jhunjhunwala,2011,,Pune Warriors India,"30,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Abhishek Jhunjhunwala,2011-Pune Warriors India,Spin
1632,Mohnish Mishra,2011,,Pune Warriors India,"30,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Mohnish Mishra,2011-Pune Warriors India,Spin
1956,Ganesh Gaikwad,2011,,Pune Warriors India,"20,00,000",Bowler,Right Handed Bat,Right-arm offbreak,India,Ganesh Gaikwad,2011-Pune Warriors India,Spin
1958,Imtiaz Ahmed,2011,,Pune Warriors India,"20,00,000",Wicketkeeper Batsman,Right Handed Bat,Right-arm offbreak,India,Imtiaz Ahmed,2011-Pune Warriors India,Spin
572,Siddharth Chitnis,2011,,Punjab Kings,"10,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Siddharth Chitnis,2011-Punjab Kings,Spin
1718,Amit yadav,2011,,Punjab Kings,"10,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Amit yadav,2011-Punjab Kings,Spin
782,David Hussey,2011,,Punjab Kings,"6,44,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,Australia,David Hussey,2011-Punjab Kings,Spin
1127,Johan Botha,2011,,Rajasthan Royals,"4,37,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,South Africa,Johan Botha,2011-Rajasthan Royals,Spin
985,Ross Taylor,2011,,Rajasthan Royals,"4,60,00,000",Batsman,Right Handed Bat,Right-arm offbreak,New Zealand,Ross Taylor,2011-Rajasthan Royals,Spin
885,Rahul Dravid,2011,,Rajasthan Royals,"2,30,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Rahul Dravid,2011-Rajasthan Royals,Spin
444,Tillakaratne Dilshan,2011,,Royal Challengers Bangalore,"2,99,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,Sri Lanka,Tillakaratne Dilshan,2011-Royal Challengers Bangalore,Spin
175,Mohammad Kaif,2011,,Royal Challengers Bangalore,"59,80,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Mohammad Kaif,2011-Royal Challengers Bangalore,Spin
1196,Ryan Ninan,2011,,Royal Challengers Bangalore,"20,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Ryan Ninan,2011-Royal Challengers Bangalore,Spin
1672,Suraj Randiv,2012,,Chennai Super Kings,"40,21,600",Bowler,Right Handed Bat,Right-arm offbreak,Sri Lanka,Suraj Randiv,2012-Chennai Super Kings,Spin
34,S Badrinath,2012,,Chennai Super Kings,"3,68,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,S Badrinath,2012-Chennai Super Kings,Spin
72,Ravichandran Ashwin,2012,,Chennai Super Kings,"3,91,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Ravichandran Ashwin,2012-Chennai Super Kings,Spin
1119,Murali Vijay,2012,,Chennai Super Kings,"4,14,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Murali Vijay,2012-Chennai Super Kings,Spin
1043,Arjun Yadav,2012,,Deccan Chargers,"30,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Arjun Yadav,2012-Deccan Chargers,Spin
1465,Abhishek Jhunjhunwala,2012,Transfer,Deccan Chargers,"30,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Abhishek Jhunjhunwala,2012-Deccan Chargers,Spin
1479,Syed Ahmed Quadri,2012,,Deccan Chargers,"8,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Syed Ahmed Quadri,2012-Deccan Chargers,Spin
1650,Abhishek reddy,2012,,Deccan Chargers,"10,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Abhishek reddy,2012-Deccan Chargers,Spin
984,Ross Taylor,2012,Transfer,Delhi Daredevils,"5,02,70,000",Batsman,Right Handed Bat,Right-arm offbreak,New Zealand,Ross Taylor,2012-Delhi Daredevils,Spin
398,Virender Sehwag,2012,,Delhi Daredevils,"8,28,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Virender Sehwag,2012-Delhi Daredevils,Spin
509,Yogesh Nagar,2012,,Delhi Daredevils,"20,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Yogesh Nagar,2012-Delhi Daredevils,Spin
1031,Venugopal Rao,2012,,Delhi Daredevils,"3,22,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Venugopal Rao,2012-Delhi Daredevils,Spin
1755,Robin Bist,2012,,Delhi Daredevils,"20,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Robin Bist,2012-Delhi Daredevils,Spin
1761,Unmukt Chand,2012,,Delhi Daredevils,"10,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Unmukt Chand,2012-Delhi Daredevils,Spin
2035,Manpreet Juneja,2012,,Delhi Daredevils,"10,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Manpreet Juneja,2012-Delhi Daredevils,Spin
2047,Sunny Gupta,2012,,Delhi Daredevils,"10,00,000",Bowler,Right Handed Bat,Right-arm offbreak,India,Sunny Gupta,2012-Delhi Daredevils,Spin
1400,Kevin Pietersen,2012,Transfer,Delhi Daredevils,"3,26,75,500",Batsman,Right Handed Bat,Right-arm offbreak,England,Kevin Pietersen,2012-Delhi Daredevils,Spin
2070,Glenn Maxwell,2012,,Delhi Daredevils,"10,05,400",Allrounder,Right Handed Bat,Right-arm offbreak,Australia,Glenn Maxwell,2012-Delhi Daredevils,Spin
216,Yusuf Pathan,2012,,Kolkata Knight Riders,"9,66,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Yusuf Pathan,2012-Kolkata Knight Riders,Spin
1024,Rohit Sharma,2012,,Mumbai Indians,"9,20,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Rohit Sharma,2012-Mumbai Indians,Spin
590,Harbhajan Singh,2012,,Mumbai Indians,"5,98,00,000",Bowler,Right Handed Bat,Right-arm offbreak,India,Harbhajan Singh,2012-Mumbai Indians,Spin
1425,Tirumalasetti Suman,2012,,Mumbai Indians,"30,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Tirumalasetti Suman,2012-Mumbai Indians,Spin
1560,Ambati Rayudu,2012,,Mumbai Indians,"30,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Ambati Rayudu,2012-Mumbai Indians,Spin
2176,Marlon Samuels,2012,,Pune Warriors India,"50,27,000",Batsman,Right Handed Bat,Right-arm offbreak,West Indies,Marlon Samuels,2012-Pune Warriors India,Spin
1967,Nathan McCullum,2012,,Pune Warriors India,"50,27,000",Bowler,Right Handed Bat,Right-arm offbreak,New Zealand,Nathan McCullum,2012-Pune Warriors India,Spin
488,Mithun Manhas,2012,,Pune Warriors India,"30,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Mithun Manhas,2012-Pune Warriors India,Spin
1631,Mohnish Mishra,2012,,Pune Warriors India,"30,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Mohnish Mishra,2012-Pune Warriors India,Spin
571,Siddharth Chitnis,2012,,Punjab Kings,"10,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Siddharth Chitnis,2012-Punjab Kings,Spin
2010,Gurkeerat Mann Singh,2012,,Punjab Kings,"10,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Gurkeerat Mann Singh,2012-Punjab Kings,Spin
1717,Amit yadav,2012,,Punjab Kings,"10,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Amit yadav,2012-Punjab Kings,Spin
2015,Parvinder Awana,2012,,Punjab Kings,"20,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Parvinder Awana,2012-Punjab Kings,Spin
781,David Hussey,2012,,Punjab Kings,"7,03,78,000",Allrounder,Right Handed Bat,Right-arm offbreak,Australia,David Hussey,2012-Punjab Kings,Spin
1994,Dinesh Chandimal,2012,,Rajasthan Royals,"25,13,500",Wicketkeeper Batsman,Right Handed Bat,Right-arm offbreak,Sri Lanka,Dinesh Chandimal,2012-Rajasthan Royals,Spin
1126,Johan Botha,2012,,Rajasthan Royals,"4,77,56,500",Allrounder,Right Handed Bat,Right-arm offbreak,South Africa,Johan Botha,2012-Rajasthan Royals,Spin
884,Rahul Dravid,2012,,Rajasthan Royals,"2,30,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Rahul Dravid,2012-Rajasthan Royals,Spin
1764,Ajit Chandila,2012,,Rajasthan Royals,"30,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Ajit Chandila,2012-Rajasthan Royals,Spin
1224,Owais Shah,2012,,Rajasthan Royals,NA,Batsman,Right Handed Bat,Right-arm offbreak,England,Owais Shah,2012-Rajasthan Royals,Spin
774,Brad Hodge,2012,,Rajasthan Royals,"2,38,78,250",Batsman,Right Handed Bat,Right-arm offbreak,Australia,Brad Hodge,2012-Rajasthan Royals,Spin
104,Muttiah Muralitharan,2012,,Royal Challengers Bangalore,"1,01,20,000",Bowler,Right Handed Bat,Right-arm offbreak,Sri Lanka,Muttiah Muralitharan,2012-Royal Challengers Bangalore,Spin
443,Tillakaratne Dilshan,2012,,Royal Challengers Bangalore,"3,26,75,500",Allrounder,Right Handed Bat,Right-arm offbreak,Sri Lanka,Tillakaratne Dilshan,2012-Royal Challengers Bangalore,Spin
174,Mohammad Kaif,2012,,Royal Challengers Bangalore,"59,80,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Mohammad Kaif,2012-Royal Challengers Bangalore,Spin
1195,Ryan Ninan,2012,,Royal Challengers Bangalore,"20,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Ryan Ninan,2012-Royal Challengers Bangalore,Spin
2146,Karun Nair,2012,,Royal Challengers Bangalore,"8,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Karun Nair,2012-Royal Challengers Bangalore,Spin
33,S Badrinath,2013,,Chennai Super Kings,"3,68,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,S Badrinath,2013-Chennai Super Kings,Spin
71,Ravichandran Ashwin,2013,,Chennai Super Kings,"3,91,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Ravichandran Ashwin,2013-Chennai Super Kings,Spin
1118,Murali Vijay,2013,,Chennai Super Kings,"4,14,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Murali Vijay,2013-Chennai Super Kings,Spin
