Player,Sal Name,Bat_role2,bat_hand,bowl_hand,bowl_stype,bowl_type,nationality,overseas
J Holder,Jason Holder,Bowling Allrounder, Right Handed Bat ,Right ,Medium,Pace,West Indies,1
J Hopes,James Hopes,Bowling Allrounder, Right Handed Bat ,Right ,Medium,Pace,Australia,1
J Kallis,Jacques Kallis,Batting Allrounder, Right Handed Bat ,Right ,Fast,Pace,South Africa,1
J Morkel,Albie Morkel,Batting Allrounder, Left Handed Bat ,Right ,Medium,Pace,South Africa,1
J Neesham,Jimmy Neesham,Batting Allrounder, Left Handed Bat ,Right ,Medium,Pace,New Zealand,1
J Oram,Jacob Oram,Bowling Allrounder, Left Handed Bat ,Right ,Fast,Pace,New Zealand,1
J Pattinson,James Pattinson,Bowler, Left Handed Bat ,Right ,Fast,Pace,Australia,1
J Richardson,Jhye Richardson,Bowler, Right Handed Bat ,Right ,Fast,Pace,Australia,1
J Roy,Jason Roy,Batsman, Right Handed Bat ,0,0,0,England,1
J Ryder,Jesse Ryder,Batting Allrounder, Left Handed Bat ,Right ,Medium,Pace,New Zealand,1
J Searles,Javon Searles,Bowling Allrounder, Right Handed Bat ,Right ,Fast,Pace,West Indies,1
J Sharma,Joginder Sharma,Batting Allrounder, Right Handed Bat ,Right ,Fast,Pace,India,0
J SyedMohammad,Syed Mohammad,Bowling Allrounder, Left Handed Bat ,Left,Off Break,Spin,India,0
J Taylor,Jerome Taylor,Bowler, Right Handed Bat ,Right ,Fast,Pace,West Indies,1
J vanderWath,JJ Van Der Wath,Batting Allrounder, Right Handed Bat ,Right ,Medium,Pace,South Africa,1
JM Sharma,Jitesh Sharma,WK-Batsman, Right Handed Bat ,0,0,0,India,0
JR Philippe,Joshua Philippe,WK-Batsman, Right Handed Bat ,0,0,0,Australia,1
K Abbott,Kyle Abbott,Bowler, Right Handed Bat ,Right ,Fast,Pace,South Africa,1
K Appanna,KP Appanna,Bowler,0,Left,Off Break,Spin,India,0
K ArunKarthik,Arun Karthik,WK-Batsman, Right Handed Bat ,Left,Leg Break,Spin,India,0
